name,capability_tags,role,revenue_share
Dave-Red-0035,"data-processing,vision,automation,optimization,forecasting",Agent-Core,0.0492
Stephen-Work-0036,"data-processing,optimization,forecasting",Ops,0.0417
Joseph-Market-0037,"optimization,vision",Agent-Core,0.0931
Steven-Single-0038,"optimization,api,ledger-sync",Data-Node,0.0439
Deborah-People-0039,"api,forecasting,optimization,data-processing,security",Investor-Node,0.0427
Carmen-Break-0040,"forecasting,nlp,vision",AI-Worker,0.0744
Angela-General-0041,"security,forecasting",Ops,0.0942
James-Early-0042,"security,data-processing",Data-Node,0.0764
Richard-Both-0043,"automation,security,decision-making,forecasting",Ops,0.0328
Christopher-Soldier-0044,"vision,automation",AI-Worker,0.0524
Natasha-Hear-0045,"security,automation",AI-Worker,0.0514
Phyllis-Front-0046,"ledger-sync,automation,vision",Ops,0.0922
James-Positive-0047,"decision-making,data-processing,api,nlp,forecasting",Analytics,0.0236
Ariel-Mrs-0048,"security,nlp,vision,api,data-processing",Orchestrator,0.0354
Veronica-Shoulder-0049,"automation,security,nlp",Governance,0.0318
Danielle-Friend-0050,"vision,security,nlp",Governance,0.0284
Scott-Baby-0051,"vision,nlp",Analytics,0.0336
Kelsey-Mouth-0052,"automation,forecasting",Data-Node,0.0803
Rose-Drop-0053,"api,automation,security,vision,forecasting",Investor-Node,0.0479
Sylvia-Follow-0054,"ledger-sync,vision",Orchestrator,0.031
Kimberly-Hand-0055,"ledger-sync,data-processing",AI-Worker,0.0553
Johnny-Many-0056,"ledger-sync,data-processing,automation,optimization,decision-making",Governance,0.0827
Yvonne-Finish-0057,"forecasting,api,security,decision-making",AI-Worker,0.0875
Miguel-Issue-0058,"optimization,nlp",Analytics,0.0698
Raymond-City-0059,"forecasting,nlp,optimization,data-processing",Ops,0.0857
Cody-This-0060,"decision-making,security,vision",Governance,0.0898
Kylie-Concern-0061,"decision-making,security",Ops,0.0919
Anthony-Resource-0062,"api,ledger-sync,decision-making,forecasting",Agent-Core,0.089
Michael-For-0063,"vision,nlp,automation",Investor-Node,0.0754
Eric-Sign-0064,"security,api,automation",Investor-Node,0.0804
Crystal-Heavy-0065,"ledger-sync,decision-making",Analytics,0.0881
Deanna-Court-0066,"decision-making,security,forecasting,optimization,data-processing",Agent-Core,0.0288
Rachael-Image-0067,"forecasting,optimization,security,ledger-sync,api",Investor-Node,0.0612
Brandi-Else-0068,"data-processing,decision-making,security,automation",Orchestrator,0.0765
Michelle-Computer-0069,"forecasting,ledger-sync,automation,optimization,api",Agent-Core,0.037
Paige-Product-0070,"vision,data-processing",Governance,0.0335
Larry-Next-0071,"security,api,decision-making,automation",Analytics,0.0855
Jacob-Floor-0072,"decision-making,api,ledger-sync",Analytics,0.0616
Jimmy-Light-0073,"automation,data-processing",Governance,0.0609
Diane-Police-0074,"vision,optimization,security,forecasting,automation",Ops,0.0962
Brittany-Like-0075,"forecasting,ledger-sync,automation,optimization,data-processing",Governance,0.0411
Antonio-Save-0076,"ledger-sync,optimization,automation,forecasting",Agent-Core,0.0291
John-Arrive-0077,"automation,vision,security,ledger-sync,decision-making",Analytics,0.0555
Jay-Economy-0078,"nlp,data-processing,optimization,api",Analytics,0.0364
Kayla-Past-0079,"ledger-sync,nlp,automation,vision",Governance,0.0293
Megan-Employee-0080,"nlp,optimization",Governance,0.0709
Amy-Almost-0081,"vision,decision-making,api",Orchestrator,0.0564
Ashley-Each-0082,"optimization,vision,nlp",AI-Worker,0.0162
Sara-American-0083,"security,decision-making",Analytics,0.0737
Sonia-Know-0084,"optimization,vision,forecasting,decision-making",Data-Node,0.0875
Jean-South-0085,"forecasting,ledger-sync,automation",Investor-Node,0.011
Abigail-Many-0086,"ledger-sync,security,nlp,decision-making",Agent-Core,0.0204
Susan-Detail-0087,"automation,ledger-sync,security,nlp",AI-Worker,0.0362
Samuel-Thank-0088,"automation,nlp,ledger-sync,vision,forecasting",Ops,0.0491
John-Meeting-0089,"forecasting,automation",Orchestrator,0.0721
Linda-Whether-0090,"forecasting,ledger-sync,automation",Analytics,0.0851
Ruben-Rest-0091,"security,nlp,automation,optimization,data-processing",Ops,0.0615
Kylie-Student-0092,"decision-making,automation,optimization,vision,forecasting",Orchestrator,0.0221
Susan-Behind-0093,"data-processing,nlp,optimization,automation,decision-making",Agent-Core,0.0762
John-Camera-0094,"data-processing,ledger-sync,api",Governance,0.0509
Monica-Successful-0095,"vision,optimization,automation,data-processing,nlp",Investor-Node,0.0758
Nancy-Most-0096,"vision,security,api,data-processing,nlp",Agent-Core,0.0606
Gary-Send-0097,"automation,decision-making,api,data-processing,ledger-sync",Investor-Node,0.0677
Wayne-Fine-0098,"ledger-sync,forecasting",Governance,0.0469
Janice-Relate-0099,"ledger-sync,optimization,decision-making,forecasting,nlp",Orchestrator,0.0833
Jeffrey-Put-0100,"decision-making,data-processing",Governance,0.0615
Cheryl-Party-0101,"data-processing,forecasting",Data-Node,0.0691
Amy-Who-0102,"api,forecasting",Investor-Node,0.0615
Michael-Opportunity-0103,"security,api,automation",Investor-Node,0.0611
Jasmin-Bag-0104,"automation,optimization,nlp",Governance,0.0119
Luis-Professional-0105,"forecasting,security,api,decision-making,ledger-sync",AI-Worker,0.0486
Susan-Happen-0106,"ledger-sync,api,vision,automation",Data-Node,0.0189
David-Apply-0107,"forecasting,automation",Agent-Core,0.0592
Shelby-Behind-0108,"data-processing,forecasting,decision-making",AI-Worker,0.0423
Sean-Always-0109,"vision,optimization,data-processing,api,nlp",Agent-Core,0.0747
Melanie-Skin-0110,"decision-making,optimization,api",Agent-Core,0.0906
Meagan-Agency-0111,"automation,vision,security",AI-Worker,0.0496
Matthew-Join-0112,"decision-making,api,vision",Ops,0.0225
Tyler-Use-0113,"ledger-sync,automation,security",Ops,0.0765
Megan-Machine-0114,"decision-making,api",Ops,0.0524
Linda-Garden-0115,"security,ledger-sync,automation,api",Orchestrator,0.058
Gina-Learn-0116,"decision-making,api",Governance,0.068
Justin-Note-0117,"security,api,ledger-sync,vision",Ops,0.0619
Priscilla-Whatever-0118,"automation,nlp,api,security",Governance,0.089
Mark-I-0119,"forecasting,automation,api",Analytics,0.0437
Daryl-Also-0120,"nlp,ledger-sync,decision-making,optimization,automation",AI-Worker,0.0624
Christopher-Forward-0121,"data-processing,automation,security",Investor-Node,0.0717
Danielle-Improve-0122,"api,security,forecasting,data-processing",Analytics,0.0496
Daryl-Mission-0123,"nlp,ledger-sync,decision-making",AI-Worker,0.0759
David-Show-0124,"data-processing,ledger-sync,security,decision-making,api",Governance,0.0557
Christine-Anything-0125,"forecasting,security,automation",Orchestrator,0.0213
Jennifer-Various-0126,"security,ledger-sync",Data-Node,0.0306
Jacob-Performance-0127,"security,decision-making,data-processing,vision",Governance,0.0167
Alexis-Contain-0128,"automation,data-processing,forecasting,ledger-sync",Data-Node,0.0744
Henry-Bit-0129,"ledger-sync,forecasting,optimization,automation,security",Agent-Core,0.0512
Cheryl-Individual-0130,"forecasting,nlp,optimization,data-processing",Data-Node,0.0441
William-Kind-0131,"nlp,api,forecasting,vision",Governance,0.0449
Andrew-Leave-0132,"nlp,vision,decision-making",Analytics,0.0512
Jesse-Party-0133,"api,security,nlp,optimization",Data-Node,0.0327
Brittany-Paper-0134,"nlp,decision-making,api,automation,vision",Data-Node,0.097
Jose-Edge-0135,"ledger-sync,automation",Orchestrator,0.0863
Seth-Eye-0136,"decision-making,data-processing",Agent-Core,0.0457
Donna-Meeting-0137,"decision-making,optimization,security",AI-Worker,0.0377
Cesar-Next-0138,"data-processing,automation,ledger-sync,nlp",Data-Node,0.0246
Joseph-Ago-0139,"forecasting,vision,data-processing",Analytics,0.0926
Paige-Production-0140,"nlp,data-processing,automation,api",Ops,0.0507
Margaret-Second-0141,"optimization,automation",Orchestrator,0.0133
Barbara-Doctor-0142,"vision,decision-making",Data-Node,0.0194
Edward-Only-0143,"decision-making,data-processing,vision",Orchestrator,0.0322
Laurie-Onto-0144,"automation,api",Investor-Node,0.0968
Brandon-Lead-0145,"forecasting,api,decision-making,vision,security",Analytics,0.0679
Angela-Trade-0146,"vision,optimization,ledger-sync,data-processing,decision-making",Data-Node,0.034
Anna-Something-0147,"forecasting,data-processing,automation",AI-Worker,0.0612
Nichole-Population-0148,"security,data-processing,ledger-sync,automation,optimization",Investor-Node,0.049
Jason-Example-0149,"api,optimization,nlp,decision-making,forecasting",Investor-Node,0.0491
Duane-Half-0150,"forecasting,vision",Orchestrator,0.0527
Devin-Tree-0151,"decision-making,optimization,ledger-sync,nlp,security",Data-Node,0.0979
Ashley-Position-0152,"forecasting,security,ledger-sync",Data-Node,0.0192
David-Our-0153,"vision,optimization",Orchestrator,0.0418
Patricia-Husband-0154,"automation,ledger-sync",Ops,0.057
Phillip-Among-0155,"api,security",AI-Worker,0.0998
Christina-Lay-0156,"api,optimization",Agent-Core,0.0327
Robert-Trial-0157,"ledger-sync,security,forecasting,vision,nlp",AI-Worker,0.0363
Anna-Behavior-0158,"ledger-sync,vision,optimization,data-processing",Agent-Core,0.0393
April-Herself-0159,"security,automation",Investor-Node,0.0874
Lauren-For-0160,"ledger-sync,decision-making,forecasting,data-processing,optimization",Analytics,0.0115
Cynthia-Cost-0161,"optimization,api,data-processing,automation",Investor-Node,0.0586
Leah-Eat-0162,"ledger-sync,automation,api",Investor-Node,0.066
Jasmine-Worker-0163,"api,nlp",Analytics,0.0406
Molly-Community-0164,"optimization,decision-making",Orchestrator,0.0416
Nathaniel-Receive-0165,"optimization,ledger-sync",Analytics,0.0592
Samantha-Claim-0166,"security,decision-making,api,forecasting",Agent-Core,0.0987
Frank-Especially-0167,"decision-making,automation,api,nlp",AI-Worker,0.0734
Joseph-Drug-0168,"optimization,ledger-sync,security,api,vision",Agent-Core,0.0439
Sandra-Week-0169,"security,nlp,vision,decision-making,ledger-sync",Ops,0.0645
Pam-Tell-0170,"api,security,forecasting",Orchestrator,0.0407
Ryan-Collection-0171,"nlp,automation,data-processing",Governance,0.021
Andrew-Bad-0172,"ledger-sync,optimization,decision-making,data-processing",Data-Node,0.0363
Christopher-Son-0173,"vision,forecasting",Agent-Core,0.0433
Steven-Thought-0174,"optimization,vision,nlp",Data-Node,0.0457
Chad-Share-0175,"optimization,data-processing,automation,vision,ledger-sync",Investor-Node,0.0574
Barbara-First-0176,"automation,data-processing",Orchestrator,0.0607
Chase-Wait-0177,"nlp,decision-making",Investor-Node,0.0823
Howard-Government-0178,"data-processing,automation,ledger-sync,nlp",Data-Node,0.0145
Rachel-Sport-0179,"forecasting,data-processing,vision,optimization",Analytics,0.0151
Mark-Product-0180,"automation,nlp,security,forecasting,decision-making",Agent-Core,0.077
Mary-Likely-0181,"security,optimization,vision,forecasting,nlp",AI-Worker,0.0997
Janet-Today-0182,"forecasting,automation,ledger-sync,vision,optimization",Data-Node,0.0927
Donna-Candidate-0183,"api,optimization,ledger-sync,automation",Governance,0.0499
Bryan-City-0184,"vision,ledger-sync,api,data-processing,automation",AI-Worker,0.0258
Frances-Six-0185,"ledger-sync,nlp,decision-making,api",Ops,0.0289
Susan-Box-0186,"nlp,api,vision,optimization",Ops,0.0723
Robert-Computer-0187,"nlp,decision-making,security,api",Orchestrator,0.0702
Christian-Draw-0188,"automation,optimization,api",Data-Node,0.0262
Zachary-Lead-0189,"automation,decision-making,forecasting,optimization",Investor-Node,0.029
Angel-Part-0190,"security,data-processing,optimization,automation,vision",Data-Node,0.0329
Scott-Decision-0191,"ledger-sync,vision,security,data-processing,optimization",AI-Worker,0.0369
Sara-Many-0192,"forecasting,vision,automation,nlp,decision-making",Data-Node,0.0353
Matthew-Baby-0193,"decision-making,optimization",Ops,0.0538
Kristen-Every-0194,"api,vision,data-processing,decision-making",Analytics,0.0206
Jeremy-Far-0195,"optimization,data-processing,ledger-sync",AI-Worker,0.0811
Walter-Believe-0196,"vision,security,automation,data-processing,decision-making",AI-Worker,0.0133
Christian-Describe-0197,"api,forecasting,automation,vision,security",Investor-Node,0.0332
Stephanie-Reason-0198,"api,security,vision",Orchestrator,0.0703
Yvonne-Decade-0199,"optimization,nlp,decision-making",Analytics,0.0459
Susan-Page-0200,"vision,ledger-sync",Investor-Node,0.0571
Eric-Four-0201,"forecasting,automation,ledger-sync,vision",AI-Worker,0.093
Raymond-City-0202,"automation,api",Data-Node,0.0888
Jessica-Whatever-0203,"vision,api,security",Investor-Node,0.0744
Antonio-Set-0204,"nlp,data-processing,api",Analytics,0.0476
Juan-Fly-0205,"data-processing,optimization",AI-Worker,0.0721
Robert-Leg-0206,"ledger-sync,api,automation",Orchestrator,0.0805
Joshua-Current-0207,"decision-making,data-processing,api",Data-Node,0.0124
Christopher-Believe-0208,"api,ledger-sync,nlp,optimization",Data-Node,0.0794
Joshua-Reveal-0209,"optimization,security,automation,nlp,data-processing",Data-Node,0.0896
Kristina-Animal-0210,"automation,decision-making,ledger-sync,nlp",Investor-Node,0.0549
Michael-Station-0211,"api,nlp,optimization,automation,security",Investor-Node,0.0151
Marcus-Rich-0212,"forecasting,decision-making,ledger-sync",Agent-Core,0.0752
Kimberly-Difference-0213,"security,optimization",Analytics,0.0625
Christina-Anyone-0214,"nlp,automation,forecasting,security,data-processing",Analytics,0.0809
Peter-Trip-0215,"optimization,security",Analytics,0.0153
Micheal-Beat-0216,"optimization,vision",AI-Worker,0.0626
Michelle-Build-0217,"automation,optimization,forecasting,security,vision",Ops,0.0746
Sheila-Skin-0218,"optimization,api",AI-Worker,0.0241
Tina-Stage-0219,"security,api",Data-Node,0.0523
Cody-Spend-0220,"nlp,forecasting",Agent-Core,0.0126
Deborah-Argue-0221,"decision-making,automation,data-processing",Ops,0.0728
Phillip-Participant-0222,"security,data-processing,optimization,nlp",Investor-Node,0.027
Robert-Appear-0223,"forecasting,optimization,nlp",AI-Worker,0.0828
David-Time-0224,"forecasting,security",Investor-Node,0.0458
Karen-Enjoy-0225,"automation,security,decision-making,api,data-processing",Agent-Core,0.0517
Jennifer-Difficult-0226,"optimization,data-processing,security,ledger-sync",Orchestrator,0.0367
Melanie-Six-0227,"ledger-sync,optimization",AI-Worker,0.0137
Barry-Wall-0228,"security,automation",Ops,0.0792
Daisy-Suffer-0229,"forecasting,nlp,decision-making,security",Data-Node,0.0366
Carla-Story-0230,"automation,forecasting",Governance,0.0324
Jenna-Family-0231,"vision,nlp",Governance,0.0436
Lauren-Day-0232,"nlp,decision-making,ledger-sync,forecasting",Investor-Node,0.0864
Nicole-Ability-0233,"forecasting,optimization,vision,nlp",Investor-Node,0.0462
Meredith-Paper-0234,"data-processing,decision-making,forecasting,optimization",Data-Node,0.0216
Brent-Peace-0235,"automation,security,forecasting,optimization",Governance,0.0176
Angela-Determine-0236,"vision,ledger-sync",Analytics,0.016
Katherine-Peace-0237,"decision-making,nlp,optimization,ledger-sync,automation",Data-Node,0.0358
Zoe-Put-0238,"vision,decision-making",Ops,0.0415
Dustin-Measure-0239,"data-processing,optimization,security,vision",Investor-Node,0.078
Gary-Soldier-0240,"forecasting,vision",Investor-Node,0.0979
Andrew-Fill-0241,"vision,api",Data-Node,0.096
Daniel-Board-0242,"optimization,data-processing,decision-making,vision",AI-Worker,0.0202
Nicole-Care-0243,"ledger-sync,vision,data-processing,forecasting",Investor-Node,0.0662
Linda-Democrat-0244,"data-processing,automation,vision,decision-making,api",Data-Node,0.0507
Sarah-Away-0245,"vision,data-processing,security,optimization",AI-Worker,0.0251
Melissa-Born-0246,"security,api,nlp,decision-making",Agent-Core,0.0724
Teresa-Piece-0247,"automation,security,api,data-processing,vision",Agent-Core,0.0257
Robert-First-0248,"ledger-sync,optimization,automation,nlp,api",Ops,0.0647
Lori-Red-0249,"forecasting,ledger-sync",Data-Node,0.0606
Laura-Body-0250,"nlp,vision,data-processing",Governance,0.013
Jason-If-0251,"ledger-sync,security,automation,data-processing,api",Data-Node,0.0913
Donna-Mission-0252,"ledger-sync,security",Orchestrator,0.029
Natalie-Actually-0253,"decision-making,data-processing,api,vision,nlp",Analytics,0.0776
Christopher-Impact-0254,"nlp,security,api,decision-making,optimization",Governance,0.043
Lucas-Us-0255,"automation,security,nlp",AI-Worker,0.0375
Blake-Garden-0256,"api,data-processing",Agent-Core,0.0121
Lisa-Get-0257,"security,data-processing,automation",Investor-Node,0.044
Scott-They-0258,"api,ledger-sync,optimization",Data-Node,0.0896
Robert-Fast-0259,"optimization,automation",Governance,0.0766
Christine-What-0260,"security,api",Ops,0.0366
Robert-Address-0261,"data-processing,optimization,decision-making,forecasting,nlp",Orchestrator,0.087
Kimberly-Any-0262,"ledger-sync,nlp,optimization,decision-making",Data-Node,0.0628
Scott-Machine-0263,"vision,ledger-sync",Ops,0.0926
George-Remember-0264,"optimization,decision-making,forecasting",Data-Node,0.0319
Ronald-Party-0265,"optimization,security,nlp",Analytics,0.017
Rebecca-Administration-0266,"optimization,security",Investor-Node,0.0938
Suzanne-Read-0267,"forecasting,vision,automation,ledger-sync,nlp",Orchestrator,0.0188
Carrie-Person-0268,"api,data-processing,ledger-sync,security,nlp",Investor-Node,0.0834
Janet-The-0269,"nlp,ledger-sync,security,data-processing,decision-making",Ops,0.0407
Jack-Left-0270,"data-processing,ledger-sync,vision,api",Investor-Node,0.075
Colleen-Various-0271,"forecasting,api",Data-Node,0.0668
Frederick-New-0272,"forecasting,optimization",Agent-Core,0.0224
Marie-Administration-0273,"automation,ledger-sync,nlp,api",Data-Node,0.0184
Cassidy-Audience-0274,"nlp,forecasting,optimization,ledger-sync",Ops,0.0119
Matthew-Machine-0275,"api,nlp",Data-Node,0.0566
Lindsey-Color-0276,"api,decision-making,nlp,vision,optimization",Investor-Node,0.0609
Julie-Walk-0277,"api,forecasting,nlp",Governance,0.0544
Eric-Size-0278,"decision-making,forecasting",Governance,0.0668
Robert-What-0279,"data-processing,optimization,security,automation",Analytics,0.0432
Daniel-Director-0280,"nlp,vision,data-processing",Agent-Core,0.031
Melissa-Strong-0281,"forecasting,data-processing",Analytics,0.0531
Bradley-Now-0282,"ledger-sync,decision-making,security,vision",Orchestrator,0.0821
Shawn-Risk-0283,"automation,decision-making,vision,ledger-sync,security",Agent-Core,0.063
Gail-Pattern-0284,"optimization,automation,vision,api",AI-Worker,0.0701
Christopher-Today-0285,"vision,data-processing,nlp,optimization",AI-Worker,0.0896
Frank-Appear-0286,"data-processing,forecasting,optimization",Governance,0.0117
Thomas-Sometimes-0287,"decision-making,data-processing,security",AI-Worker,0.0715
Keith-Real-0288,"ledger-sync,security",Orchestrator,0.055
Melissa-Point-0289,"ledger-sync,forecasting",Orchestrator,0.0131
Katherine-Military-0290,"data-processing,api,decision-making",Governance,0.0806
Mitchell-Hit-0291,"forecasting,ledger-sync,data-processing,api,nlp",Governance,0.0771
Shawna-Huge-0292,"automation,optimization,security,api",Ops,0.0496
Larry-Hour-0293,"automation,decision-making,api,security,optimization",Analytics,0.0286
Phyllis-Fill-0294,"data-processing,nlp,optimization",AI-Worker,0.017
Louis-Avoid-0295,"vision,api,security",Ops,0.0471
Jessica-Involve-0296,"nlp,decision-making,automation,optimization",Agent-Core,0.0197
Allen-Necessary-0297,"ledger-sync,automation,optimization,security",Orchestrator,0.0636
Rhonda-Those-0298,"api,ledger-sync,vision,security",Analytics,0.0213
Austin-Yourself-0299,"automation,forecasting",Data-Node,0.026
Paige-Crime-0300,"nlp,vision,automation",Data-Node,0.0918
Joseph-Available-0301,"nlp,api,security,data-processing,decision-making",Governance,0.0667
Sara-For-0302,"forecasting,ledger-sync,security",Orchestrator,0.0249
Tammy-Represent-0303,"automation,nlp",Orchestrator,0.0351
Adam-Focus-0304,"optimization,ledger-sync,api,nlp",AI-Worker,0.0737
Christopher-Beat-0305,"nlp,ledger-sync,decision-making,automation",Investor-Node,0.0495
Amy-Direction-0306,"nlp,optimization,security,data-processing",Agent-Core,0.0789
Jason-Clearly-0307,"ledger-sync,automation",Agent-Core,0.0846
Ruben-Within-0308,"vision,forecasting,decision-making,api",AI-Worker,0.0952
Erica-May-0309,"automation,optimization,forecasting",Investor-Node,0.0297
William-Claim-0310,"nlp,data-processing,api,forecasting,security",AI-Worker,0.0855
Benjamin-Wonder-0311,"optimization,ledger-sync,security,nlp,forecasting",Analytics,0.0599
Dawn-Ask-0312,"optimization,nlp",Data-Node,0.0211
Susan-Fact-0313,"optimization,ledger-sync",Ops,0.0188
Kimberly-Per-0314,"automation,api,decision-making,vision,data-processing",Agent-Core,0.0435
Jennifer-Nation-0315,"nlp,security,optimization",Governance,0.0903
Joseph-May-0316,"security,decision-making,forecasting,nlp",Orchestrator,0.0839
Thomas-Determine-0317,"automation,data-processing,vision",Data-Node,0.0388
Antonio-Hair-0318,"vision,security,automation,ledger-sync",Orchestrator,0.097
Cody-Argue-0319,"data-processing,api,decision-making",Governance,0.0569
Lee-Candidate-0320,"decision-making,automation,vision,data-processing",Ops,0.0611
Susan-Bag-0321,"data-processing,automation",Analytics,0.0589
Kathleen-Owner-0322,"vision,api,automation,forecasting",Analytics,0.0907
Amy-Actually-0323,"api,security,forecasting,nlp,automation",Analytics,0.0975
Matthew-Listen-0324,"decision-making,optimization,data-processing,vision,forecasting",Agent-Core,0.0267
William-Sport-0325,"decision-making,forecasting",Orchestrator,0.0454
Leslie-Crime-0326,"security,api,optimization,ledger-sync",Agent-Core,0.0977
Isaac-That-0327,"security,forecasting,data-processing,vision,decision-making",Data-Node,0.0538
Brandi-Tree-0328,"security,ledger-sync,forecasting",Governance,0.0297
Jodi-Interesting-0329,"ledger-sync,security,forecasting,optimization",Investor-Node,0.0318
Russell-Husband-0330,"ledger-sync,decision-making",Ops,0.0868
Sheila-Suggest-0331,"optimization,vision,decision-making,data-processing,api",Orchestrator,0.0325
Stephanie-Example-0332,"automation,security",Investor-Node,0.0802
Willie-Stage-0333,"api,decision-making",Governance,0.0234
Kayla-Economy-0334,"data-processing,optimization,forecasting",Ops,0.0694
Robert-Whether-0335,"automation,api",Ops,0.0161
Tammy-Technology-0336,"automation,vision,nlp,security",Ops,0.0873
Marissa-Memory-0337,"nlp,data-processing",Investor-Node,0.0244
Jaclyn-Until-0338,"nlp,automation,security",Governance,0.0212
Anthony-Hear-0339,"vision,ledger-sync",Investor-Node,0.0831
Sara-Among-0340,"security,decision-making",Orchestrator,0.0184
Andrea-Mission-0341,"vision,api,data-processing",Ops,0.0271
Adam-New-0342,"nlp,api",Data-Node,0.0461
Christopher-Step-0343,"vision,nlp,decision-making,security",Data-Node,0.0157
Lisa-Century-0344,"security,forecasting",Agent-Core,0.0402
Danielle-White-0345,"security,forecasting,decision-making,nlp,data-processing",Data-Node,0.0688
Jessica-Focus-0346,"security,optimization,nlp,api",Orchestrator,0.0207
Joshua-Bit-0347,"vision,data-processing",Governance,0.067
William-Lot-0348,"optimization,security,vision",Investor-Node,0.0279
Justin-Former-0349,"forecasting,ledger-sync,decision-making,automation",Orchestrator,0.0928
Jessica-Outside-0350,"decision-making,ledger-sync,data-processing,nlp,optimization",AI-Worker,0.0349
Andrew-Seven-0351,"ledger-sync,vision",AI-Worker,0.0128
Francisco-Game-0352,"automation,security,api,vision,nlp",Ops,0.038
Denise-Respond-0353,"api,vision,nlp,ledger-sync",Agent-Core,0.0939
Bradley-Like-0354,"forecasting,decision-making,api,automation",Ops,0.0248
Megan-Place-0355,"api,decision-making,nlp,data-processing",Agent-Core,0.0101
Jillian-Nothing-0356,"decision-making,vision,security,automation",Data-Node,0.0667
Angela-Cultural-0357,"security,optimization,nlp",Governance,0.0942
Sara-Four-0358,"nlp,optimization,decision-making",Agent-Core,0.0251
Sabrina-Maybe-0359,"data-processing,optimization,decision-making,nlp,ledger-sync",Data-Node,0.0465
Marie-Go-0360,"nlp,forecasting,decision-making,data-processing",Agent-Core,0.0901
Jesse-Support-0361,"optimization,automation,security,decision-making",Agent-Core,0.0534
Richard-Receive-0362,"forecasting,decision-making",Agent-Core,0.0624
Ronald-Large-0363,"nlp,ledger-sync,security,vision,api",Ops,0.0687
James-Weight-0364,"decision-making,data-processing,nlp,ledger-sync,api",Governance,0.0366
Melanie-Hotel-0365,"nlp,decision-making",Analytics,0.0264
William-Kind-0366,"vision,security,automation",AI-Worker,0.0357
Robert-Effect-0367,"vision,optimization,api",Analytics,0.0948
Aaron-Final-0368,"ledger-sync,data-processing,vision,api,optimization",AI-Worker,0.0299
Stephanie-Note-0369,"api,forecasting,optimization",Ops,0.0402
Jorge-Letter-0370,"decision-making,data-processing,security,api",AI-Worker,0.0363
Mary-Security-0371,"forecasting,api,ledger-sync,security,optimization",Data-Node,0.0149
Jacqueline-Check-0372,"data-processing,forecasting,decision-making,automation,nlp",Investor-Node,0.044
Bradley-Reason-0373,"forecasting,nlp",AI-Worker,0.0333
Nancy-Fast-0374,"ledger-sync,decision-making,forecasting,data-processing,optimization",Investor-Node,0.0106
Kyle-Reality-0375,"security,forecasting,automation,api",AI-Worker,0.0158
Lisa-Summer-0376,"automation,vision,forecasting,ledger-sync",Ops,0.0786
Jade-Race-0377,"api,automation,vision",Orchestrator,0.051
Justin-Order-0378,"api,security,ledger-sync",Investor-Node,0.0796
April-Stock-0379,"forecasting,ledger-sync,decision-making",Ops,0.0523
John-Type-0380,"vision,ledger-sync",Data-Node,0.0425
